SYMBOL, CLOSE_PRICE,BEST_STK,PRC_VOL,CHNG_DELIV,CHANGE,SPREAD, DELIV_QTY,MEAN_DELIV,DELIV_QTY2,DELIV_QTY3,DELIV_QTY4,DELIV_QTY5,DELIV_QTY6,DELIV_QTY7, TURNOVER_LACS,AVG_TRADE_SIZE
20MICRONS,65.05,False,False,17.37275708534407,-2.400600150037522,4.566563467492265,132069,112521,132069,269558.0,38046.0,85306.0,80932.0,69215.0,115.75,0.04705284552845528
21STCENMGM,21.55,False,False,-24.41351888667992,-1.8223234624145723,0.0,1901,2515,1901,3186.0,588.0,2627.0,1068.0,5721.0,0.41,0.014642857142857141
3MINDIA,24216.95,False,False,-48.450134770889484,0.45192467230795064,1.25,1530,2968,1530,1324.0,2302.0,4468.0,6383.0,1801.0,557.78,0.37944217687074827
5PAISA,512.15,False,False,25.516693163751984,-2.419738973039925,5.190719622493114,25264,20128,25264,32536.0,9142.0,20839.0,17827.0,15164.0,273.67,0.09555516759776538
63MOONS,111.15,False,False,292.2722183509368,1.6460905349794344,4.983996342021036,501014,127721,501014,17599.0,104479.0,28478.0,66641.0,48120.0,1733.22,0.1973380393942844
A2ZINFRA,5.65,False,False,52.745448499459634,-1.7391304347826024,6.306306306306316,367475,240580,367475,247098.0,267187.0,171666.0,221318.0,168740.0,45.56,0.07965034965034966
AAKASH,252.5,False,True,0.0,9.997821825310385,11.676249447147283,100155,100155,100155,100155.0,100155.0,100155.0,100155.0,100155.0,629.79,0.3558135593220339
AARON,119.15,False,False,123.52558542931482,4.977973568281943,4.977973568281943,10309,4612,10309,4187.0,4317.0,1219.0,4349.0,3292.0,13.78,0.046397306397306395
AARTIDRUGS,717.15,False,False,-36.347403756874506,-0.7679535076795444,1.6783216783216783,80208,126009,80208,81030.0,236158.0,106570.0,110901.0,141188.0,1458.51,0.18929396495781958
AARTIIND,890.9,False,False,200.7470750731232,1.1409434069364768,1.8970805407247584,740319,246160,740319,115025.0,171518.0,96851.0,167363.0,185886.0,16767.91,0.30136972267653983
AARTISURF,1481.8,True,True,103.97251925314421,4.824561403508775,8.304782298358308,36815,18049,36815,6237.0,34654.0,6406.0,10081.0,14101.0,1185.06,0.12354670558798998
AARVEEDEN,24.45,False,False,139.94588326246617,-4.863813229571985,9.406952965235178,31037,12935,31037,11331.0,11140.0,4290.0,8484.0,11330.0,10.89,0.048185840707964604
AARVI,72.3,False,False,-33.520698554106126,-1.2295081967213193,5.874125874125878,18805,28287,18805,6464.0,102209.0,22590.0,7333.0,12321.0,20.21,0.03545614035087719
AAVAS,2683.3,False,False,-31.594491155109544,-1.6710029682289531,5.2591937032782905,22699,33183,22699,18437.0,9492.0,86153.0,43694.0,18623.0,1138.31,0.10105735085227273
ABAN,50.2,True,True,59.318209903786745,4.9111807732497414,4.257528556593986,451229,283225,451229,181780.0,237382.0,53423.0,501127.0,274413.0,367.12,0.08042059145673604
ABB,1695.8,False,False,-67.64110763657975,-0.8941616504003247,1.525634202590041,22869,70673,22869,45914.0,152427.0,49626.0,65493.0,87709.0,727.04,0.1758684083212385
